r,theta_over_pi,theta,n,symmetric,max_abs_imag,method,matvecs,converged,diverged,residual,speedup,predicted_speedup,mu_subdominant,mu_dominant,theory_diverges,beta,backtracks
0.9,0.0,0.0,81,True,0.0,dynamic_safe,68,True,False,8.586600149540347e-13,3.6029411764705883,4.433779629746542,0.45000000000000007,0.7179449471770336,False,0.2025,0
0.9,0.02,0.06283185307179587,81,False,0.056511467576382035,power,247,True,False,9.123761620932467e-13,1.0,4.433779629746542,0.5766739581845101,0.7179449471770336,False,0.2025,0
0.9,0.02,0.06283185307179587,81,False,0.056511467576382035,static,120,True,False,8.568339158179151e-13,2.058333333333333,4.433779629746542,0.5766739581845101,0.7179449471770336,False,0.2025,0
0.9,0.02,0.06283185307179587,81,False,0.056511467576382035,dynamic,1022,False,True,0.03219070369341436,,4.433779629746542,0.5766739581845101,0.7179449471770336,False,0.2025,0
0.9,0.02,0.06283185307179587,81,False,0.056511467576382035,dynamic_safe,121,True,False,9.795971222956949e-13,2.041322314049587,4.433779629746542,0.5766739581845101,0.7179449471770336,False,0.2025,0
0.9,0.05,0.15707963267948966,81,False,0.1407910185362078,power,251,True,False,9.221640994573262e-13,1.0,4.433779629746542,0.661902480011901,0.7179449471770336,False,0.2025,0
0.9,0.05,0.15707963267948966,81,False,0.1407910185362078,static,322,True,False,9.461397203870055e-13,0.7795031055900621,4.433779629746542,0.661902480011901,0.7179449471770336,False,0.2025,0
0.9,0.05,0.15707963267948966,81,False,0.1407910185362078,dynamic,1017,False,True,0.1080370468917102,,4.433779629746542,0.661902480011901,0.7179449471770336,False,0.2025,0
0.9,0.05,0.15707963267948966,81,False,0.1407910185362078,dynamic_safe,317,True,False,9.474203624555578e-13,0.7917981072555205,4.433779629746542,0.661902480011901,0.7179449471770336,False,0.2025,0
0.9,0.1,0.3141592653589793,81,False,0.2781152949374527,power,256,True,False,9.510129046550656e-13,1.0,4.433779629746542,0.7650070991490554,0.7179449471770336,True,0.2025,0
0.9,0.1,0.3141592653589793,81,False,0.2781152949374527,static,1010,False,True,0.27811529493745263,,4.433779629746542,0.7650070991490554,0.7179449471770336,True,0.2025,0
0.9,0.1,0.3141592653589793,81,False,0.2781152949374527,dynamic,1011,False,True,0.2781152949369349,,4.433779629746542,0.7650070991490554,0.7179449471770336,True,0.2025,0
0.9,0.1,0.3141592653589793,81,False,0.2781152949374527,dynamic_safe,406,True,False,9.53316649230696e-13,0.6305418719211823,4.433779629746542,0.7650070991490554,0.7179449471770336,True,0.2025,7
0.9,0.15,0.47123889803846897,81,False,0.40859144976559214,power,260,True,False,9.046020539603781e-13,1.0,4.433779629746542,0.8458215549843351,0.7179449471770336,True,0.2025,0
0.9,0.15,0.47123889803846897,81,False,0.40859144976559214,static,1002,False,True,0.4085914497655922,,4.433779629746542,0.8458215549843351,0.7179449471770336,True,0.2025,0
0.9,0.15,0.47123889803846897,81,False,0.40859144976559214,dynamic,1003,False,True,0.4085914497655921,,4.433779629746542,0.8458215549843351,0.7179449471770336,True,0.2025,0
0.9,0.15,0.47123889803846897,81,False,0.40859144976559214,dynamic_safe,493,True,False,9.72021287588913e-13,0.5273833671399595,4.433779629746542,0.8458215549843351,0.7179449471770336,True,0.2025,9
0.9,0.2,0.6283185307179586,81,False,0.5290067270632258,power,262,True,False,9.597777900346748e-13,1.0,4.433779629746542,0.9120352734021454,0.7179449471770336,True,0.2025,0
0.9,0.2,0.6283185307179586,81,False,0.5290067270632258,static,1002,False,True,0.5290067270632259,,4.433779629746542,0.9120352734021454,0.7179449471770336,True,0.2025,0
0.9,0.2,0.6283185307179586,81,False,0.5290067270632258,dynamic,1003,False,True,0.5290067270632259,,4.433779629746542,0.9120352734021454,0.7179449471770336,True,0.2025,0
0.9,0.2,0.6283185307179586,81,False,0.5290067270632258,dynamic_safe,545,True,False,9.68510767234103e-13,0.48073394495412847,4.433779629746542,0.9120352734021454,0.7179449471770336,True,0.2025,10
0.9,0.3,0.9424777960769379,81,False,0.7281152949374528,power,266,True,False,9.180905565612171e-13,1.0,4.433779629746542,1.0100028347558319,0.7179449471770336,True,0.2025,0
0.9,0.3,0.9424777960769379,81,False,0.7281152949374528,static,1002,False,True,0.7281152949374528,,4.433779629746542,1.0100028347558319,0.7179449471770336,True,0.2025,0
0.9,0.3,0.9424777960769379,81,False,0.7281152949374528,dynamic,1003,False,True,0.7281152909601597,,4.433779629746542,1.0100028347558319,0.7179449471770336,True,0.2025,0
0.9,0.3,0.9424777960769379,81,False,0.7281152949374528,dynamic_safe,582,True,False,9.318430069293097e-13,0.4570446735395189,4.433779629746542,1.0100028347558319,0.7179449471770336,True,0.2025,10
0.9,0.4,1.2566370614359172,81,False,0.8559508646656382,power,268,True,False,9.602278372195567e-13,1.0,4.433779629746542,1.0674105803857592,0.7179449471770336,True,0.2025,0
0.9,0.4,1.2566370614359172,81,False,0.8559508646656382,static,1002,False,True,0.8559508646656381,,4.433779629746542,1.0674105803857592,0.7179449471770336,True,0.2025,0
0.9,0.4,1.2566370614359172,81,False,0.8559508646656382,dynamic,1003,False,True,0.8064181442897248,,4.433779629746542,1.0674105803857592,0.7179449471770336,True,0.2025,0
